fangweijiaozhongwucha 方位角中误差
fangweijuli 方位距离
fangweijulidingweifangfa 方位距离定位方法
fangweijulidingweixitong 方位距离定位系统
fangweiquan 方位圈
fangweitouying 方位投影
fangxiangfuhedaoxian 方向附合导线
fangxiangguancefa 方向观测法
fangyangceliang 放样测量
feidixingsheyingceliang 非地形摄影测量
feijichangceliang 飞机场测量
feijidongkuceliang 飞机洞库测量
feijiandufenlei 非监督分类
feiliangcesheyingji 非量测摄影机
feilieluogongshi 菲列罗公式
feiningmeineisigongshi 费宁梅内斯公式
fenbantouying 分瓣投影
fenbanyuantu 分版原图
fenceng 分层
fencengsebiao 分层色表
fencengshesefa 分层设色法
fenchao 分潮
fenchaochijiao 分潮迟角
fenchaozhenfu 分潮振幅
fendaijiuzheng 分带纠正
fendaiziwuxian 分带子午线
fenfu 分幅
fengongfacetu 分工法测图
fenleiqi 分类器
fenquliangzhiditu 分区量值地图
fenqumiduditu 分区密度地图
fenqutongjitubiaofa 分区统计图表法
fenqutongjitufa 分区统计图法
fense 分色
fensecankaotu 分色参考图
fenxiditu 分析地图
fenzong 分宗
fengxijiuzhengyi 缝隙纠正仪
fengxunxinhaogan 风讯信号杆
fubiao 浮标
fucanshutiaojianpingcha 附参数条件平差
fucefa 复测法
fudiaoyingxiangditu 浮雕影像地图
fuhaohua 符号化
fuhechao 负荷潮
fuhedaoxian 附合导线
fuheshuizhunluxian 附合水准路线
fujiawei 附加位
fukenceliang 复垦测量
fupian 负片
fushejiaozheng 辐射校正
fushesanjiaoceliang 辐射三角测量
fushexiangewang 辐射线格网
fusheyaoganqi 辐射遥感器
futai 副台
futiaojiancanshupingcha 附条件参数平差
futiaojiandejianjiepingcha 附条件的间接平差
fuzhaoyi 复照仪
fuzhudenggaoxian 辅助等高线
fuziyanchaoyi 浮子验潮仪
gailvpanjuehanshu 概率判决函数
gairanwucha 概然误差
ganchugaodu 干出高度
ganchujiao 干出礁
ganchutan 干出滩
ganchuxian 干出线
ganguang 感光
ganguangcailiao 感光材料
ganguangceding 感光测定
ganguangdu 感光度
ganguangtexingquxian 感光特性曲线
gansheleida 干涉雷达
ganshouxiaoguo 感受效果
gangjie 港界
gangkou 港口
gangkougongchengceliang 港口工程测量
gangwanceliang 港湾测量
gangwanmaodituji 港湾锚地图集
gangwantu 港湾图
gaobi 高比
gaochayi 高差仪
gaochaoshiyanjiao 高潮适淹礁
gaocheng 高程
gaochengdaoxian 高程导线
gaochengdian 高程点
gaochengjizhun 高程基准
gaochengkongzhiceliang 高程控制测量
gaochengkongzhidian 高程控制点
gaochengkongzhiwang 高程控制网
gaochengxitong 高程系统
gaochengyichang 高程异常
gaochengzhongwucha 高程中误差
gaodujiao 高度角
gaomidushuzicidai 高密度数字磁带
gaosi 高斯
gaosimujing 高斯目镜
gaosipingmianziwuxianshoulianjiao 高斯平面子午线收敛角
gaosipingmianzuobiao 高斯平面坐标
gaosipingmianzuobiaoxi 高斯平面坐标系
gaositouying 高斯投影
gaositouyingfangxianggaizheng 高斯投影方向改正
gaositouyingjuligaizheng 高斯投影距离改正
gaosiyikelvgetouying 高斯一克吕格投影
gaosiyuehuafa 高斯约化法
gaosizhongweidugongshi 高斯中纬度公式
gewangdanyuan 格网单元
genju 根据
genjuliangge 根据两个
genzongshuzihua 跟踪数字化
gongchangxianzhuangtuceliang 工厂现状图测量
gongchengceliang 工程测量
